Nome,Cpf,E-mail,Cep,Cidade,Identificador
--- Insira o nome do usuário,-- CPF VALIDO,-- Email valido,-- Cep valido,-- Cidade,--
3 Maurício Júnior a0001,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1000
4 Maurício Júnior a0002,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1001
5 Maurício Júnior a0003,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1002
Maurício Júnior a0004,120639636,mauricio_0001@gmail.com,36200090,Barbacena,a1003
Maurício Júnior a0005,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1004
Maurício Júnior a0006,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1005
Maurício Júnior a0007,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1006
Maurício Júnior a0008,120.639.636-90,mauricio_0001@gmail.com,36200090,,a1007
Maurício Júnior a0009,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1008
Maurício Júnior a0010,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1009
Maurício Júnior a0011,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1010
Maurício Júnior a0012,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1011
Maurício Júnior a0013,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1012
Maurício Júnior a0014,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1013
Maurício Júnior a0015,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1014
Maurício Júnior a0016,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1015
Maurício Júnior a0017,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1016
Maurício Júnior a0018,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1017
Maurício Júnior a0019,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1018
Maurício Júnior a0020,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1019
Maurício Júnior a0021,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1020
Maurício Júnior a0022,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1021
Maurício Júnior a0023,120.639.636-90,mauricio_0001@gmail.com,36200090,Barbacena,a1022
